"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"13355","ENSMUSG00000063659","Zbtb18",2,7.24913349675321,0.513721974299481,0.570956048704814
"13356","ENSMUSG00000041623","D11Wsu47e",1,2.84150570994896,0.513689001070705,0.570956048704814
"13357","ENSMUSG00000069818","Olfr390",1,1.76145468997994,0.513765151257878,0.57096128661166
"13358","ENSMUSG00000032718","Mansc1",1,2.56727211783611,0.513932693664367,0.571104724116923
"13359","ENSMUSG00000046947","Adck2",2,5.09456800331558,0.513983070934986,0.571117950816598
"13360","ENSMUSG00000020697","Lig3",4,10.8761151281841,0.51419242397842,0.571307809995185
"13361","ENSMUSG00000030029","Lrig1",2,6.55304028923921,0.514259049193775,0.571339070895322
"13362","ENSMUSG00000042570","Mier2",2,6.3938268339603,0.5147659114855,0.571859391564943
"13363","ENSMUSG00000047446","Arl4a",3,11.705132077692,0.514952445598307,0.571938204449029
"13364","ENSMUSG00000028104","Polr3gl",1,4.39642484168109,0.514938371300988,0.571938204449029
"13365","ENSMUSG00000053286","Trmt1l",7,18.7717457738962,0.514921259788433,0.571938204449029
"13366","ENSMUSG00000067786","Nnat",2,3.03195216501722,0.515299202224507,0.572280514575833
"13367","ENSMUSG00000104043","Gm6525",1,1.62888845077299,0.515349178862103,0.572293200495927
"13368","ENSMUSG00000032251","Irak1bp1",1,3.41879101788219,0.515572919392096,0.572486463459123
"13369","ENSMUSG00000048706","Lurap1l",1,3.23969862004304,0.51560034559317,0.572486463459123
"13370","ENSMUSG00000033365","Ipo13",1,5.45703885939379,0.51675839057981,0.573654894460378
"13371","ENSMUSG00000090145","Ugt1a6b",1,2.21596238640089,0.516704825769672,0.573654894460378
"13372","ENSMUSG00000036817","Sun1",3,11.1376709111823,0.516768610126931,0.573654894460378
"13373","ENSMUSG00000071711","Mpst",2,4.29332160169658,0.516844509296208,0.573696245868011
"13374","ENSMUSG00000031785","Adgrg1",2,9.00101245355632,0.517349362081878,0.574157851522461
"13375","ENSMUSG00000029680","Hyal4",1,1.39047468620426,0.517376409455971,0.574157851522461
"13376","ENSMUSG00000034412","Tbc1d10a",1,4.51163615769313,0.517335480077381,0.574157851522461
"13377","ENSMUSG00000013089","Etv5",1,4.13840285997162,0.517448466596853,0.57419488959884
"13378","ENSMUSG00000034616","Ssh3",2,5.90485629670328,0.517555010239029,0.574270187770082
"13379","ENSMUSG00000037013","Ss18",6,16.333982950371,0.517618712068373,0.574297941695412
"13380","ENSMUSG00000022180","Slc7a8",1,4.04910119352432,0.517746598350429,0.5743903689963
